Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	-0.00795871	0.00000000	0.00397935	-0.00000000
1	-0.00795944	0.00789811	0.00723371	-0.78153105
2	-0.00795952	1.01857332	1.01462506	-1.56298211
3	-0.00795979	-0.00814891	0.00741200	0.79713806
4	-0.00796021	-0.00012379	0.00398181	0.01555044
5	-0.00795996	0.00765487	0.00706411	-0.76586220
6	-0.00795926	0.33946951	0.33558345	-1.54735446
7	-0.00795933	-0.00840867	0.00759893	0.81284342
8	-0.00795931	-0.00024927	0.00398386	0.03130820
9	-0.00795979	0.00741909	0.00690188	-0.75025358
