Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	-0.00000000	0.00000000	0.00000000	0.03079993
1	0.03131305	1.01633820	1.01682046	0.06159986
2	-0.00023779	-0.00385532	0.00386265	0.09239978
3	0.03083837	0.33279903	0.33422478	0.12319971
4	-0.00094755	-0.00765220	0.00771064	0.15399964
5	0.02989622	0.19259465	0.19490121	0.18479957
6	-0.00211852	-0.01133307	0.01152938	0.21559950
7	0.02850087	0.13013896	0.13322330	0.24639942
8	-0.00373295	-0.01484215	0.01530439	0.27719935
9	0.02667348	0.09374755	0.09746835	0.30799928
10	-0.00576637	-0.01812624	0.01902134	0.33879921
11	0.02444174	0.06936063	0.07354112	0.36959914
12	-0.00818796	-0.02113555	0.02266614	0.40039906
13	0.02183950	0.05159785	0.05602947	0.43119899
14	-0.01096099	-0.02382447	0.02622496	0.46199892
15	0.01890618	0.03796874	0.04241543	0.49279885
16	-0.01404345	-0.02615223	0.02968430	0.52359878
17	0.01568627	0.02716942	0.03137255	0.55439870
18	-0.01738860	-0.02808355	0.03303104	0.58519863
19	0.01222858	0.01845477	0.02213858	0.61599856
20	-0.02094573	-0.02958916	0.03625248	0.64679849
21	0.00858551	0.01136905	0.01424662	0.67759842
22	-0.02466092	-0.03064622	0.03933640	0.70839834
23	0.00481229	0.00561693	0.00739648	0.73919827
24	-0.02847786	-0.03123872	0.04227110	0.76999820
25	0.00096612	0.00099634	0.00138784	0.80079813
26	-0.03233867	-0.03135767	0.04504545	0.83159806
27	-0.00289469	-0.00263886	0.00391699	0.86239798
28	-0.03618484	-0.03100127	0.04764894	0.89319791
29	-0.00671163	-0.00540083	0.00861480	0.92399784
30	-0.03995805	-0.03017492	0.05007167	0.95479777
31	-0.01042682	-0.00738099	0.01277488	0.98559770
32	-0.04360113	-0.02889115	0.05230446	1.01639762
33	-0.01398395	-0.00865849	0.01644750	1.04719755
34	-0.04705882	-0.02716942	0.05433885	1.07799748
35	-0.01732910	-0.00930553	0.01966953	1.10879741
36	-0.05027873	-0.02503583	0.05616711	1.13959734
37	-0.02041155	-0.00939081	0.02246817	1.17039726
38	-0.05321205	-0.02252273	0.05778231	1.20119719
39	-0.02318459	-0.00898176	0.02486358	1.23199712
40	-0.05581429	-0.01966820	0.05917832	1.26279705
41	-0.02560618	-0.00814591	0.02687066	1.29359698
42	-0.05804603	-0.01651552	0.06034984	1.32439690
43	-0.02763960	-0.00695164	0.02850040	1.35519683
44	-0.05987342	-0.01311248	0.06129244	1.38599676
45	-0.02925403	-0.00546853	0.02976076	1.41679669
46	-0.06126877	-0.00951067	0.06200254	1.44759661
47	-0.03042500	-0.00376743	0.03065737	1.47839654
48	-0.06221092	-0.00576469	0.06247744	1.50919647
49	-0.03113476	-0.00192033	0.03119393	1.53999640
50	-0.06268559	-0.00193132	0.06271534	-1.57079633
