Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
114	0.00265563	0.00903624	0.00941838	1.28495776
115	-0.00446942	0.00093343	0.00456586	-0.20588786
116	-0.02136038	0.00352647	0.02164952	-0.16361787
117	-0.01350911	0.01536921	0.02046237	-0.84972081
118	0.00255842	0.00831095	0.00869583	1.27216469
119	0.00051311	-0.00986306	0.00987640	-1.51882014
120	-0.01145518	-0.00850781	0.01426899	0.63881543
121	-0.00326579	0.00734960	0.00804252	-1.15265162
122	0.00922047	0.00061040	0.00924065	0.06610371
123	0.01255324	-0.00979579	0.01592298	-0.66263755
124	0.00877436	-0.00689428	0.01115887	-0.66597933
125	0.00744446	-0.00122079	0.00754389	-0.16254003
126	0.00757157	-0.00082441	0.00761632	-0.10845505
127	0.00680345	0.00440333	0.00810409	0.57441845
128	0.00948910	0.00129741	0.00957738	0.13588403
129	0.00314816	-0.00720881	0.00786625	-1.15904895
130	-0.00853378	-0.00569988	0.01026226	0.58886998
131	-0.00889972	0.00351984	0.00957049	-0.37662107
132	-0.00033958	-0.00013914	0.00036697	0.38887113
133	-0.00554267	-0.00953334	0.01102750	1.04416700
134	-0.01164408	-0.00462537	0.01252911	0.37811521
135	-0.00571213	0.00159219	0.00592988	-0.27183907
136	0.00037179	-0.00244531	0.00247341	-1.41990813
137	-0.00436808	-0.00611459	0.00751454	0.95049146
138	-0.00376231	0.00033708	0.00377738	-0.08935504
139	0.00065680	0.00407132	0.00412396	1.41084985
140	0.00174153	0.00104165	0.00202928	0.53903841
141	0.00319344	0.00284746	0.00427856	0.72818831
142	0.00516869	0.00078040	0.00522728	0.14985401
143	-0.00071045	-0.00142812	0.00159508	1.10917264
144	-0.00438741	0.00747792	0.00866999	-1.04020279
145	0.00473649	0.01039436	0.01142266	1.14323028
146	0.00960654	-0.00268870	0.00997571	-0.27289973
147	-0.00505113	-0.00950255	0.01076162	1.08222431
148	-0.00933396	0.00215258	0.00957896	-0.22665514
149	0.00239126	0.00687151	0.00727570	1.23590729
150	0.00490265	-0.00383396	0.00622376	-0.66367929
151	-0.00640966	-0.00598928	0.00877241	0.75150638
152	-0.00673886	0.00316318	0.00744432	-0.43886508
153	-0.00176641	0.00281518	0.00332347	-1.01043151
154	-0.00239140	-0.00192484	0.00306982	0.67772099
155	-0.00292308	0.00011312	0.00292527	-0.03867998
156	0.00136780	-0.00104723	0.00172266	-0.65342660
157	-0.00056814	-0.00302904	0.00308187	1.38538522
158	0.00137639	0.00378778	0.00403010	1.22225401
159	0.01201237	0.00586209	0.01336642	0.45400487
160	0.01264106	-0.00331971	0.01306969	-0.25681418
161	-0.00037375	-0.00085314	0.00093142	1.15788788
162	0.00074143	0.01255906	0.01258093	1.51182904
163	0.01302125	0.00759036	0.01507205	0.52776667
164	0.00609146	-0.00777395	0.00987624	-0.90615208
165	-0.00980212	-0.00575486	0.01136662	0.53088326
166	-0.00738994	0.00486158	0.00884569	-0.58188402
167	0.00041404	-0.00209226	0.00213284	-1.37543119
