Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	0.00166309	0.00000000	0.00166309	0.88242197
1	0.00013150	0.00010817	0.00017027	0.21208218
2	-0.00099133	-0.00460400	0.00470951	0.02620520
3	0.00007599	0.00289922	0.00290021	-0.02447987
4	-0.00005830	0.00238118	0.00238189	0.52187463
5	0.00020572	0.00035774	0.00041268	0.11535100
6	0.00026245	0.00226514	0.00228029	0.42073787
7	0.00145419	0.00324990	0.00356041	0.28132115
8	0.00167665	0.00580186	0.00603927	0.49646885
9	0.00171983	0.00317472	0.00361063	1.45253163
10	-0.02288857	-0.00271960	0.02304957	-1.51712976
11	-0.00577171	0.00031005	0.00578003	-1.34575754
12	-0.00417433	0.00095557	0.00428230	-1.32561248
13	-0.00399649	0.00099999	0.00411969	-1.35856923
14	-0.00387049	0.00083398	0.00395932	-1.45951816
15	-0.00275056	0.00030735	0.00276768	-0.80548868
16	-0.00191080	0.00183552	0.00264959	0.86032805
17	0.00097592	0.00083963	0.00128740	-0.42777233
18	-0.00349140	0.00765779	0.00841615	-0.41885351
19	-0.00991887	0.02227967	0.02438785	-0.43550224
20	0.02347644	-0.05045468	0.05564906	-0.35201667
21	0.00460282	-0.01253097	0.01334957	-0.19022396
22	0.00132948	-0.00690453	0.00703136	0.03824240
23	-0.00024676	-0.00644946	0.00645418	0.28103155
24	-0.00185212	-0.00641602	0.00667800	0.62175292
25	-0.00520479	-0.00726359	0.00893586	0.52789554
26	-0.00615616	-0.01055776	0.01222148	0.44300475
27	-0.00678983	-0.01431075	0.01583980	0.50720432
28	-0.01182464	-0.02127904	0.02434378	0.58553305
29	-0.03718878	-0.05608276	0.06729251	0.79641459
30	0.05054419	0.04944264	0.07070566	0.89233097
31	0.01998187	0.01610791	0.02566593	0.98754854
32	0.01457664	0.00961796	0.01746378	1.08825216
33	0.01300931	0.00681491	0.01468622	1.14514451
34	0.01391884	0.00631037	0.01528250	1.06247656
35	0.01411869	0.00786630	0.01616218	0.99791395
36	0.01247825	0.00804900	0.01484901	1.30347690
37	0.01579106	0.00432477	0.01637258	1.53995359
38	0.02920332	0.00090100	0.02921721	1.53697558
39	0.12751900	0.00431443	0.12759197	-1.43003390
40	-0.05783304	0.00819492	0.05841076	-1.35438108
41	-0.02291751	0.00503861	0.02346487	-1.22082568
42	-0.01508546	0.00550612	0.01605890	-1.25067737
43	-0.01334295	0.00442347	0.01405708	-1.38426378
44	-0.00798888	0.00150771	0.00812990	-0.89733029
45	-0.00612497	0.00488718	0.00783580	-0.56246017
46	-0.00532602	0.00844887	0.00998749	-0.49046990
47	-0.00659725	0.01235460	0.01400571	-0.32704309
48	-0.00691509	0.02038501	0.02152596	-0.39789491
49	-0.04728001	0.11248734	0.12201967	-0.16517993
50	0.00544248	-0.03264859	0.03309911	-0.07039662
51	0.00095411	-0.01353102	0.01356462	0.39009245
52	-0.00229590	-0.00558391	0.00603748	0.32787378
53	-0.00223574	-0.00657279	0.00694263	0.29171629
54	-0.00157304	-0.00523852	0.00546960	0.55964532
55	-0.00240391	-0.00383732	0.00452812	0.68476022
56	-0.00306776	-0.00375691	0.00485031	0.95748294
57	-0.00455827	-0.00320839	0.00557419	1.24079588
58	-0.00842864	-0.00288702	0.00890937	0.63586067
59	-0.05649686	-0.07654057	0.09513334	-0.40305423
60	0.00155796	-0.00365377	0.00397207	-1.03636333
61	0.00458267	-0.00271242	0.00532523	-0.67648721
62	0.00182668	-0.00227519	0.00291775	-0.45399612
63	0.00115946	-0.00237597	0.00264378	-0.58615709
64	0.00165513	-0.00249265	0.00299212	-0.56151344
65	0.00143218	-0.00227670	0.00268970	-0.63942176
66	0.00136996	-0.00184222	0.00229577	-0.09248148
67	0.00016737	-0.00180462	0.00181236	0.76816151
68	-0.00314445	-0.00325476	0.00452559	-1.52044075
69	0.04078086	-0.00205528	0.04083262	1.42964338
70	0.00446909	0.00063505	0.00451398	0.91513018
71	0.00182482	0.00140363	0.00230221	1.32771575
72	0.00088592	0.00021969	0.00091275	-0.66344927
73	0.00092627	-0.00118502	0.00150408	-1.26118940
74	0.00154001	-0.00049264	0.00161689	-0.79173534
75	0.00124234	-0.00122669	0.00174591	-0.65974714
76	0.00143269	-0.00184697	0.00233750	-0.82174179
77	0.00253175	-0.00235411	0.00345711	-0.85140181
78	0.00474097	-0.00415308	0.00630277	1.40443557
79	-0.01120121	-0.00188082	0.01135802	-0.12136436
80	-0.00032993	0.00270513	0.00272518	-0.07633751
81	-0.00011592	0.00151556	0.00151998	0.07746173
82	0.00008846	0.00113974	0.00114317	0.45712187
83	0.00052849	0.00107445	0.00119739	-0.23641366
