Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	0.00315743	0.00000000	0.00315743	0.00000000
1	0.00198334	-0.00441051	0.00483594	-1.14820406
2	-0.00105602	0.00216782	0.00241135	-1.11749309
3	0.00207839	0.00283249	0.00351322	0.93776445
4	0.00111173	0.00959329	0.00965749	1.45542428
5	-0.02495463	-0.00611444	0.02569280	0.24028822
6	-0.01011932	-0.00076238	0.01014800	0.07519728
7	-0.00998470	-0.00246151	0.01028364	0.24170880
8	-0.00870518	-0.00118588	0.00878558	0.13539412
9	-0.02582137	0.02202603	0.03393949	-0.70624222
10	0.03516894	-0.03066419	0.04665991	-0.71707801
11	0.00766018	-0.01231236	0.01450078	-1.01424654
12	-0.00036879	-0.01293764	0.01294290	1.54229864
13	-0.00061316	-0.02839370	0.02840032	1.54920473
14	-0.00130989	-0.09839997	0.09840868	1.55748523
15	0.01128046	0.04003656	0.04159537	1.29616180
16	0.00929837	0.01686849	0.01926151	1.06701160
17	0.01053919	0.01945613	0.02212725	1.07435567
18	0.00309420	0.01366468	0.01401063	1.34811360
19	0.11341628	0.10940156	0.15758157	0.76738216
20	-0.00554383	-0.00344915	0.00652922	0.55655455
21	-0.00447204	-0.00469917	0.00648701	0.81015954
22	0.00916374	-0.00076816	0.00919588	-0.08363022
23	0.01756924	0.00108681	0.01760283	0.06178004
24	-0.13420237	0.02213904	0.13601623	-0.16349508
25	-0.01946222	0.01064345	0.02218245	-0.50044299
26	-0.01565222	0.00626078	0.01685791	-0.38050024
27	-0.01784159	0.01236727	0.02170879	-0.60612764
28	-0.03607585	0.03295413	0.04886146	-0.74020627
29	0.03648643	-0.07103512	0.07985767	-1.09629693
30	0.01168942	-0.02056715	0.02365693	-1.05397101
31	0.00712688	-0.01637398	0.01785776	-1.16027041
32	0.00612120	-0.01550576	0.01667027	-1.19480719
33	0.00269648	-0.03527323	0.03537615	-1.49449934
34	0.00615119	0.02102167	0.02190314	1.28613108
35	0.00006947	0.00614901	0.00614940	1.55949951
36	0.00153605	0.00299861	0.00336914	1.09739459
37	0.00121936	0.00081700	0.00146776	0.59031852
38	0.00283402	0.00838100	0.00884719	1.24471895
39	0.00569482	0.00047686	0.00571475	0.08354116
40	0.00380841	0.00019708	0.00381351	0.05170222
41	0.00236980	-0.00056908	0.00243717	-0.23567561
42	0.00372183	-0.00097837	0.00384827	-0.25705812
43	0.01505752	-0.01005132	0.01810409	-0.58859886
44	-0.00274947	0.00638946	0.00695592	-1.16443344
45	-0.00067868	0.00264870	0.00273427	-1.31995979
46	0.00073296	0.00300284	0.00309100	1.33139043
47	0.00121058	0.00273274	0.00298887	1.15378572
48	0.00007340	0.02171661	0.02171673	1.56741644
49	-0.00351152	-0.00072697	0.00358598	0.20413969
50	-0.00181699	0.00075129	0.00196618	-0.39207234
51	-0.00135883	0.00054396	0.00146366	-0.38077865
52	-0.00168933	0.00159036	0.00232015	-0.75523299
53	-0.01459515	-0.00663065	0.01603072	0.42642823
54	0.00048410	-0.00180887	0.00187253	-1.30930171
55	-0.00031473	-0.00156840	0.00159966	1.37275871
56	-0.00067589	-0.00064703	0.00093566	0.76358804
57	-0.00024312	-0.00045967	0.00052001	1.08430223
58	0.00530789	-0.00542402	0.00758905	-0.79621805
59	0.00170850	-0.00019201	0.00171925	-0.11191491
60	0.00094913	-0.00032903	0.00100455	-0.33369706
61	0.00052032	-0.00087331	0.00101656	-1.03346837
62	0.00095843	-0.00161342	0.00187662	-1.03477552
63	0.00019228	0.00330116	0.00330675	1.51261721
64	0.00012545	0.00120549	0.00121200	1.46710475
65	0.00015399	0.00065868	0.00067644	1.34113350
66	0.00073675	0.00106366	0.00129390	0.96501457
67	0.00065916	0.00226227	0.00235635	1.28727310
68	-0.00099764	-0.00051408	0.00112230	0.47581206
69	-0.00066289	0.00008386	0.00066817	-0.12583161
70	-0.00015018	0.00063413	0.00065167	-1.33825127
71	-0.00036109	0.00020586	0.00041564	-0.51814647
72	-0.00176496	-0.00052699	0.00184196	0.29016032
73	-0.00016030	-0.00070632	0.00072428	1.34762858
74	0.00016993	-0.00061562	0.00063864	-1.30146458
75	0.00017148	-0.00011112	0.00020433	-0.57499545
76	0.00025572	-0.00004971	0.00026050	-0.19200652
77	0.00084162	-0.00149448	0.00171517	-1.05790901
78	0.00043339	-0.00016100	0.00046233	-0.35568449
79	0.00021170	0.00020544	0.00029499	0.77038320
80	0.00020624	-0.00054235	0.00058024	-1.20741518
81	0.00014905	0.00023521	0.00027846	1.00597604
82	0.00126578	0.00184093	0.00223410	0.96845832
83	0.00091834	0.00199509	0.00219630	1.13940954
84	0.00000320	0.00004700	0.00004711	1.50283640
85	-0.00001033	0.00029639	0.00029657	-1.53594188
86	0.00052321	-0.00015741	0.00054638	-0.29224026
87	-0.00050425	0.00026089	0.00056774	-0.47745904
88	-0.00104368	0.00068265	0.00124711	-0.57924137
89	-0.00055697	0.00133383	0.00144545	-1.17523214
90	0.00015665	-0.00007128	0.00017210	-0.42702032
91	-0.00041987	-0.00039434	0.00057602	0.75404387
92	-0.00050711	0.00013708	0.00052531	-0.26400811
93	-0.00020751	-0.00004910	0.00021325	0.23235862
94	-0.00144795	-0.00107764	0.00180495	0.63981150
95	-0.00060727	0.00004868	0.00060922	-0.07999639
96	0.00018677	0.00049490	0.00052897	1.20993051
97	-0.00019373	-0.00030558	0.00036181	1.00578244
98	-0.00078763	-0.00021387	0.00081615	0.26514391
99	0.00015076	0.00049542	0.00051785	1.27538225
100	0.00041912	-0.00042190	0.00059469	-0.78869895
101	-0.00043428	0.00027127	0.00051204	-0.55834998
102	-0.00032360	-0.00039103	0.00050757	0.87947094
103	0.00100913	-0.00081644	0.00129805	-0.68023589
104	-0.00093331	-0.00140654	0.00168803	0.98495346
105	-0.00075427	-0.00091899	0.00118890	0.88352429
106	-0.00015834	0.00014397	0.00021401	-0.73791149
107	0.00005048	-0.00000232	0.00005053	-0.04591644
108	-0.00019715	0.00087542	0.00089735	-1.34928343
109	0.00064119	-0.00017757	0.00066533	-0.27016539
110	0.00190940	0.00000366	0.00190941	0.00191457
111	0.00034068	-0.00079710	0.00086685	-1.16689500
112	-0.00004976	-0.00064833	0.00065024	1.49420087
113	0.00024956	-0.00052201	0.00057860	-1.12484754
114	0.00021229	-0.00049507	0.00053866	-1.16569798
115	-0.00066804	-0.00017262	0.00068998	0.25286310
116	0.00036465	-0.00002556	0.00036555	-0.06998485
117	0.00012292	-0.00026042	0.00028797	-1.12978387
118	-0.00044332	0.00010043	0.00045456	-0.22277811
119	0.00011301	0.00029960	0.00032021	1.21008796
120	0.00104534	0.00006194	0.00104718	0.05918591
121	0.00033249	-0.00019627	0.00038609	-0.53325311
122	0.00015333	-0.00003894	0.00015820	-0.24867543
123	0.00037329	-0.00010236	0.00038707	-0.26762327
124	0.00038796	-0.00022563	0.00044880	-0.52676544
125	-0.00031687	0.00025242	0.00040512	-0.67266470
126	0.00026388	0.00011327	0.00028716	0.40545349
127	0.00047002	0.00027402	0.00054407	0.52782630
128	0.00020571	0.00010166	0.00022946	0.45899913
129	-0.00021229	0.00018219	0.00027975	-0.70922801
130	0.00016467	-0.00001309	0.00016519	-0.07931419
131	0.00016342	0.00023318	0.00028474	0.95951231
132	-0.00018666	0.00009704	0.00021038	-0.47941088
133	0.00017597	0.00026271	0.00031620	0.98061669
134	-0.00008520	-0.00034206	0.00035252	1.32669203
135	0.00008072	-0.00014762	0.00016825	-1.07040953
136	0.00021398	0.00029153	0.00036163	0.93761743
137	-0.00000124	-0.00009250	0.00009251	1.55738666
138	-0.00015029	0.00009823	0.00017954	-0.57891644
139	0.00012872	0.00005443	0.00013976	0.40001107
140	0.00020521	0.00022470	0.00030430	0.83068682
141	-0.00017045	-0.00003312	0.00017364	0.19193871
142	-0.00031734	0.00003059	0.00031881	-0.09610070
143	0.00035889	-0.00000109	0.00035890	-0.00302701
144	0.00022842	-0.00013287	0.00026426	-0.52685890
145	0.00036341	0.00013632	0.00038813	0.35886095
146	-0.00008067	0.00002411	0.00008420	-0.29042093
147	0.00017805	0.00009825	0.00020336	0.50420629
148	0.00010466	0.00004055	0.00011224	0.36963612
149	-0.00009645	0.00006100	0.00011413	-0.56395076
150	0.00016540	-0.00010708	0.00019703	-0.57457591
151	-0.00002074	-0.00002425	0.00003191	0.86317658
152	0.00022550	0.00009471	0.00024458	0.39762446
153	0.00013311	0.00015871	0.00020714	0.87290927
154	-0.00029912	0.00015029	0.00033475	-0.46559010
155	-0.00005693	-0.00008070	0.00009876	0.95636998
156	0.00007804	-0.00030762	0.00031737	-1.32234489
157	-0.00008454	0.00010934	0.00013821	-0.91265854
158	0.00001229	0.00029191	0.00029217	1.52870685
159	0.00002546	0.00011130	0.00011418	1.34594677
160	-0.00005800	0.00006658	0.00008830	-0.85413960
161	0.00001115	0.00027401	0.00027424	1.53011594
162	0.00003238	0.00001739	0.00003675	0.49293739
163	0.00010953	-0.00018305	0.00021331	-1.03157156
164	0.00002831	0.00014450	0.00014725	1.37730166
165	-0.00001207	0.00007182	0.00007283	-1.40423211
166	0.00012741	-0.00030084	0.00032671	-1.17017542
167	-0.00022522	-0.00015318	0.00027237	0.59725399
168	-0.00008725	-0.00005490	0.00010308	0.56164974
169	-0.00005405	-0.00002290	0.00005870	0.40077399
170	0.00004111	-0.00026632	0.00026947	-1.41762635
171	-0.00009193	0.00033304	0.00034550	-1.30146447
172	0.00016298	-0.00010869	0.00019590	-0.58817048
173	-0.00011470	-0.00014115	0.00018188	0.88840263
174	-0.00008249	0.00021159	0.00022711	-1.19905050
175	0.00014183	0.00039121	0.00041612	1.22299072
176	0.00001280	-0.00008697	0.00008791	-1.42470687
177	-0.00005960	-0.00023426	0.00024172	1.32167856
178	-0.00005883	0.00004559	0.00007443	-0.65920982
179	-0.00002198	-0.00008302	0.00008588	1.31193831
180	-0.00012267	-0.00008904	0.00015158	0.62784838
181	0.00003914	0.00018522	0.00018931	1.36252657
182	0.00023331	0.00010772	0.00025697	0.43255382
183	-0.00011680	-0.00007550	0.00013907	0.57383923
184	0.00001981	0.00002954	0.00003557	0.98017729
185	0.00029255	0.00010749	0.00031167	0.35210608
186	0.00016375	-0.00013390	0.00021153	-0.68545043
187	-0.00011741	-0.00011667	0.00016553	0.78224233
188	0.00016652	-0.00001597	0.00016729	-0.09559005
189	0.00008774	-0.00011778	0.00014687	-0.93056054
190	-0.00019200	-0.00017822	0.00026197	0.74818209
191	-0.00007373	0.00006494	0.00009825	-0.72203423
192	0.00004674	0.00013546	0.00014330	1.23854159
193	-0.00018846	0.00002493	0.00019010	-0.13150721
194	-0.00008205	0.00017863	0.00019658	-1.14020720
195	0.00024393	0.00015827	0.00029078	0.57556472
196	0.00006325	0.00003236	0.00007105	0.47287424
197	-0.00010327	0.00002530	0.00010632	-0.24027536
198	0.00011962	-0.00005875	0.00013327	-0.45655347
199	0.00011388	-0.00002533	0.00011666	-0.21885676
200	-0.00017695	0.00007059	0.00019051	-0.37957309
201	-0.00002935	0.00010989	0.00011375	-1.30980696
202	0.00016652	0.00005831	0.00017644	0.33679784
203	-0.00006623	0.00010391	0.00012322	-1.00335542
204	-0.00007483	0.00009465	0.00012065	-0.90181929
205	0.00021849	0.00002034	0.00021943	0.09283054
206	0.00001242	-0.00004377	0.00004550	-1.29440309
207	-0.00001782	0.00004799	0.00005119	-1.21519164
208	0.00005249	-0.00007944	0.00009522	-0.98687845
209	0.00018871	-0.00006563	0.00019979	-0.33468555
210	-0.00002440	-0.00006873	0.00007293	1.22971872
211	-0.00000229	0.00002835	0.00002844	-1.49024246
212	0.00012221	-0.00005626	0.00013454	-0.43141234
213	-0.00000591	0.00002388	0.00002460	-1.32815761
214	-0.00006538	0.00005492	0.00008539	-0.69867073
215	-0.00002745	0.00003511	0.00004457	-0.90726080
216	0.00004437	-0.00004761	0.00006508	-0.82055627
217	-0.00002103	0.00009163	0.00009401	-1.34517133
218	0.00002512	-0.00006507	0.00006975	-1.20243173
219	-0.00014415	-0.00017677	0.00022809	0.88671027
220	-0.00001143	-0.00001212	0.00001666	0.81452749
221	0.00010188	-0.00009045	0.00013624	-0.72603954
222	-0.00007163	-0.00003502	0.00007973	0.45473309
223	-0.00000357	0.00002834	0.00002857	-1.44535640
224	0.00002631	0.00006484	0.00006998	1.18539059
225	0.00006867	0.00009702	0.00011886	0.95488817
226	-0.00006299	-0.00000072	0.00006299	0.01149334
227	-0.00005216	0.00003593	0.00006334	-0.60325170
228	-0.00009024	-0.00002458	0.00009352	0.26589415
229	0.00006491	0.00007295	0.00009765	0.84370807
230	0.00006426	0.00013631	0.00015070	1.13026608
231	-0.00005395	-0.00001445	0.00005585	0.26172995
232	0.00004968	-0.00003381	0.00006010	-0.59758240
233	0.00003678	0.00010568	0.00011189	1.23589636
234	-0.00000948	-0.00004867	0.00004959	1.37845758
235	0.00006790	0.00006646	0.00009501	0.77465932
236	0.00004028	0.00007158	0.00008213	1.05820784
237	0.00001361	0.00006599	0.00006738	1.36732963
238	-0.00006850	0.00001666	0.00007050	-0.23852613
239	0.00001823	-0.00002974	0.00003489	-1.02101196
240	-0.00000284	0.00006924	0.00006930	-1.52983037
241	-0.00004905	0.00004190	0.00006451	-0.70693709
242	-0.00000135	-0.00000984	0.00000993	1.43420219
243	0.00006237	-0.00006862	0.00009273	-0.83309284
244	0.00013758	-0.00002198	0.00013932	-0.15840814
245	-0.00003858	-0.00001048	0.00003997	0.26515770
246	0.00011068	-0.00000996	0.00011113	-0.08973067
247	0.00006491	0.00001014	0.00006570	0.15493992
248	-0.00001956	0.00010955	0.00011128	-1.39411012
249	-0.00003812	-0.00004245	0.00005705	0.83909187
250	0.00013227	-0.00008885	0.00015934	-0.59147043
251	0.00004645	-0.00012767	0.00013585	-1.22183794
252	0.00000913	0.00003122	0.00003253	1.28642138
253	0.00007437	0.00000935	0.00007495	0.12506243
254	0.00008914	0.00003404	0.00009542	0.36479286
255	-0.00001325	0.00012048	0.00012121	-1.46129866
256	0.00000285	-0.00000140	0.00000318	-0.45626133
257	0.00015729	-0.00000865	0.00015753	-0.05494864
258	-0.00005090	0.00001580	0.00005330	-0.30097826
259	-0.00002473	-0.00002512	0.00003525	0.79313174
260	-0.00005839	-0.00009194	0.00010891	1.00496680
261	-0.00002492	-0.00007493	0.00007897	1.24973047
262	-0.00000914	0.00008164	0.00008215	-1.45933537
263	0.00006174	-0.00011193	0.00012783	-1.06672091
264	0.00005105	-0.00001600	0.00005350	-0.30371139
265	-0.00001473	0.00007654	0.00007794	-1.38067903
266	0.00000757	0.00015643	0.00015661	1.52245138
267	0.00007330	-0.00001811	0.00007550	-0.24222746
268	0.00005426	0.00009446	0.00010893	1.04935606
269	-0.00005070	0.00013525	0.00014444	-1.21217066
270	-0.00001709	-0.00008475	0.00008645	1.37178737
271	-0.00010121	-0.00003823	0.00010819	0.36113450
272	-0.00002343	-0.00002579	0.00003484	0.83348652
273	-0.00009359	-0.00005035	0.00010628	0.49357417
274	-0.00001909	-0.00012926	0.00013066	1.42419737
275	0.00001743	0.00000923	0.00001972	0.48717033
276	0.00016835	0.00014878	0.00022468	0.72376149
277	0.00007168	0.00007721	0.00010536	0.82254147
278	0.00007497	0.00006529	0.00009942	0.71648486
279	0.00005875	0.00015425	0.00016506	1.20687695
280	-0.00000013	0.00003085	0.00003085	-1.56656706
281	-0.00014492	-0.00009946	0.00017577	0.60146470
282	0.00000901	0.00000514	0.00001038	0.51786817
283	0.00005676	-0.00002800	0.00006329	-0.45822092
284	-0.00015107	0.00000532	0.00015116	-0.03522972
285	-0.00001206	0.00000079	0.00001209	-0.06557279
286	0.00011693	0.00007733	0.00014019	0.58433392
287	-0.00000466	0.00000310	0.00000560	-0.58782045
288	-0.00001513	0.00005185	0.00005401	-1.28695463
289	0.00009019	0.00008504	0.00012396	0.75602205
290	0.00005606	-0.00001582	0.00005825	-0.27499830
291	-0.00005271	-0.00003140	0.00006135	0.53729753
292	-0.00003954	-0.00004360	0.00005886	0.83418179
293	0.00002752	-0.00000657	0.00002830	-0.23425633
294	-0.00003794	-0.00012230	0.00012805	1.26996979
295	-0.00007959	0.00003944	0.00008883	-0.46007119
296	0.00007247	-0.00003822	0.00008193	-0.48529585
297	0.00005704	0.00004303	0.00007145	0.64626603
298	0.00009404	0.00012161	0.00015373	0.91255685
299	0.00014727	0.00008928	0.00017222	0.54500778
300	0.00011361	-0.00004893	0.00012370	-0.40665772
301	-0.00002559	0.00004940	0.00005564	-1.09291450
302	0.00003384	0.00001832	0.00003848	0.49634253
303	0.00001449	-0.00006442	0.00006603	-1.34958752
304	-0.00005222	-0.00003928	0.00006534	0.64491742
305	-0.00004769	0.00010057	0.00011130	-1.12801917
306	0.00006720	0.00000463	0.00006736	0.06878014
307	-0.00005802	0.00001465	0.00005984	-0.24734753
308	-0.00002808	0.00009509	0.00009915	-1.28364018
309	0.00002286	0.00000885	0.00002451	0.36952319
310	0.00005491	-0.00001982	0.00005838	-0.34637239
311	0.00002596	0.00002063	0.00003315	0.67153580
312	0.00002102	0.00003549	0.00004125	1.03620045
313	0.00003228	-0.00003158	0.00004516	-0.77456541
314	-0.00001745	0.00002756	0.00003262	-1.00642412
315	-0.00004685	-0.00003113	0.00005625	0.58637738
316	-0.00000700	-0.00002714	0.00002803	1.31848239
317	-0.00004324	-0.00003251	0.00005410	0.64463579
318	0.00005365	0.00003745	0.00006543	0.60948846
319	0.00002839	-0.00001765	0.00003343	-0.55623365
320	0.00002852	-0.00005159	0.00005895	-1.06572202
321	0.00001975	0.00004183	0.00004626	1.12964219
322	0.00009535	0.00005526	0.00011020	0.52523769
323	0.00001870	-0.00007592	0.00007819	-1.32932284
324	0.00000090	-0.00000020	0.00000093	-0.22003668
325	0.00005503	-0.00002717	0.00006138	-0.45861462
326	-0.00000357	0.00002720	0.00002743	-1.44038326
327	-0.00002014	0.00006357	0.00006668	-1.26391073
328	0.00003961	0.00001681	0.00004303	0.40138859
329	0.00000626	-0.00002138	0.00002228	-1.28582847
330	0.00001442	0.00003248	0.00003554	1.15310787
331	0.00004190	-0.00000027	0.00004190	-0.00641267
332	0.00004857	-0.00007650	0.00009062	-1.00513291
333	-0.00002022	-0.00003005	0.00003622	0.97851245
334	0.00000040	0.00003428	0.00003428	1.55902176
335	0.00001036	0.00002146	0.00002383	1.12105486
336	0.00001409	-0.00001732	0.00002233	-0.88800596
337	0.00002571	0.00007504	0.00007932	1.24072546
338	-0.00002931	-0.00000094	0.00002933	0.03199627
339	-0.00001300	-0.00000484	0.00001388	0.35653980
340	0.00003337	-0.00000828	0.00003438	-0.24309345
341	0.00006080	-0.00002509	0.00006578	-0.39141159
342	-0.00005788	-0.00004522	0.00007345	0.66324416
343	-0.00001016	0.00000990	0.00001419	-0.77253473
344	-0.00001450	0.00003239	0.00003549	-1.14974295
345	-0.00005756	-0.00001753	0.00006018	0.29568204
346	-0.00000697	-0.00006164	0.00006203	1.45815621
347	0.00004380	0.00003091	0.00005361	0.61454463
348	0.00001479	0.00001787	0.00002320	0.87943183
349	-0.00004868	0.00004979	0.00006963	-0.79669009
350	0.00004278	-0.00000302	0.00004289	-0.07048749
351	0.00000986	-0.00000329	0.00001039	-0.32211265
352	-0.00002006	0.00005361	0.00005724	-1.21263941
353	-0.00001817	-0.00002947	0.00003463	1.01825633
354	-0.00002142	-0.00002516	0.00003304	0.86550116
355	-0.00002291	-0.00005076	0.00005569	1.14690730
356	-0.00002541	0.00007032	0.00007477	-1.22410023
357	0.00001610	-0.00002676	0.00003123	-1.02902522
358	0.00002346	-0.00000526	0.00002404	-0.22056218
359	0.00006038	0.00004958	0.00007812	0.68747335
360	0.00010731	0.00004410	0.00011602	0.38992975
361	0.00001729	-0.00008004	0.00008189	-1.35807835
362	-0.00000265	0.00001224	0.00001252	-1.35778310
363	-0.00001010	0.00001806	0.00002069	-1.06081732
364	-0.00009872	0.00005335	0.00011222	-0.49547595
365	-0.00006099	-0.00000417	0.00006114	0.06823790
366	-0.00001803	0.00007884	0.00008088	-1.34598054
367	-0.00001263	-0.00001516	0.00001973	0.87601459
368	-0.00000342	-0.00001975	0.00002005	1.39916467
369	0.00005476	-0.00000459	0.00005496	-0.08369618
370	0.00007062	-0.00002983	0.00007666	-0.39972512
371	-0.00006369	-0.00002926	0.00007009	0.43061946
372	-0.00001972	0.00001424	0.00002433	-0.62540366
373	0.00005353	-0.00001510	0.00005562	-0.27503505
374	-0.00005061	0.00003656	0.00006244	-0.62564746
375	-0.00011508	0.00004289	0.00012281	-0.35676051
376	-0.00000459	0.00001937	0.00001990	-1.33829879
377	-0.00001367	-0.00001072	0.00001737	0.66522958
378	-0.00001106	-0.00000542	0.00001231	0.45542971
379	0.00002317	-0.00001200	0.00002609	-0.47787214
380	0.00003121	-0.00005822	0.00006606	-1.07872821
381	0.00000532	-0.00004590	0.00004621	-1.45548738
382	0.00004904	-0.00001681	0.00005184	-0.33020361
383	0.00001829	-0.00007332	0.00007556	-1.32633718
384	0.00000518	-0.00002968	0.00003013	-1.39807251
385	-0.00000337	0.00008337	0.00008344	-1.53037915
386	0.00002523	0.00003519	0.00004330	0.94880374
387	-0.00002635	0.00000185	0.00002641	-0.07004447
388	0.00001111	0.00000189	0.00001127	0.16847314
389	0.00001980	0.00007850	0.00008096	1.32373156
390	0.00002430	-0.00002419	0.00003428	-0.78313583
391	-0.00000809	-0.00002047	0.00002201	1.19446311
392	0.00002545	0.00002972	0.00003913	0.86267645
393	0.00002526	-0.00005452	0.00006009	-1.13685255
394	-0.00003080	-0.00000859	0.00003197	0.27188540
395	0.00004377	-0.00001158	0.00004527	-0.25857762
396	0.00004998	-0.00001213	0.00005143	-0.23810902
397	0.00002150	0.00003035	0.00003720	0.95443080
398	0.00003439	0.00006858	0.00007672	1.10596253
399	0.00004896	0.00000766	0.00004955	0.15527982
400	-0.00001579	0.00001459	0.00002150	-0.74581749
401	-0.00001465	0.00004309	0.00004551	-1.24301759
402	0.00006425	-0.00000647	0.00006457	-0.10035625
403	0.00000333	-0.00002241	0.00002265	-1.42347193
404	-0.00000869	-0.00005676	0.00005742	1.41885791
405	0.00001760	-0.00000921	0.00001987	-0.48212623
406	0.00000178	-0.00002767	0.00002772	-1.50643054
407	0.00000903	0.00002071	0.00002260	1.15960278
408	0.00003033	0.00004426	0.00005366	0.97006141
409	0.00004559	0.00003249	0.00005598	0.61911108
410	0.00002542	0.00003722	0.00004507	0.97169349
411	0.00003441	0.00005491	0.00006481	1.01098929
412	0.00005726	-0.00008121	0.00009937	-0.95666678
413	-0.00002474	0.00000694	0.00002570	-0.27346506
414	-0.00003093	-0.00000264	0.00003104	0.08508337
415	0.00001830	-0.00000564	0.00001915	-0.29898194
416	0.00000867	-0.00002894	0.00003020	-1.27982818
417	0.00001423	0.00004534	0.00004752	1.26669032
418	0.00001145	0.00006750	0.00006846	1.40270954
419	-0.00001390	0.00002941	0.00003253	-1.12915230
420	0.00000193	-0.00001504	0.00001516	-1.44290784
421	0.00005980	-0.00002132	0.00006349	-0.34248392
422	0.00007857	0.00000574	0.00007878	0.07289915
423	0.00001514	-0.00001281	0.00001983	-0.70238117
424	0.00003002	0.00002096	0.00003661	0.60963755
425	0.00003813	0.00005354	0.00006573	0.95197974
426	-0.00004390	0.00001639	0.00004686	-0.35728462
427	-0.00001204	0.00001808	0.00002172	-0.98331129
428	-0.00001828	0.00000413	0.00001874	-0.22219464
429	0.00001385	-0.00000943	0.00001676	-0.59780345
430	0.00000726	0.00000585	0.00000932	0.67802603
431	0.00000253	0.00002276	0.00002290	1.46014118
432	0.00000604	0.00002085	0.00002170	1.28893872
433	-0.00001391	0.00001538	0.00002073	-0.83558020
434	0.00000931	-0.00000826	0.00001244	-0.72586456
435	0.00004282	-0.00003261	0.00005382	-0.65073860
436	-0.00002273	0.00004649	0.00005175	-1.11599363
437	0.00000578	-0.00000277	0.00000641	-0.44693196
438	0.00006950	-0.00002245	0.00007304	-0.31246457
439	-0.00001648	-0.00002545	0.00003031	0.99622910
440	-0.00000280	0.00001432	0.00001459	-1.37778732
441	0.00002099	0.00003396	0.00003993	1.01715734
442	0.00001238	-0.00001339	0.00001824	-0.82440932
443	0.00001816	-0.00001893	0.00002624	-0.80611755
444	0.00003461	0.00000244	0.00003470	0.07040897
445	0.00002271	-0.00002893	0.00003678	-0.90537898
446	0.00004558	0.00002927	0.00005417	0.57088671
447	-0.00001693	0.00000182	0.00001703	-0.10680056
448	0.00001412	0.00004192	0.00004424	1.24602203
449	0.00000398	0.00002464	0.00002496	1.41086232
450	-0.00003425	0.00004527	0.00005677	-0.92307951
451	-0.00002783	0.00000173	0.00002788	-0.06216603
452	0.00001553	0.00001181	0.00001951	0.65021545
453	0.00000019	-0.00003856	0.00003856	-1.56593857
454	0.00006714	-0.00006095	0.00009068	-0.73708514
455	0.00008521	-0.00001114	0.00008593	-0.13004006
456	0.00001617	0.00005289	0.00005531	1.27410223
457	-0.00000980	-0.00005919	0.00005999	1.40677463
458	0.00001088	0.00006151	0.00006246	1.39569755
459	-0.00000047	-0.00002680	0.00002681	1.55314551
460	0.00001430	0.00003544	0.00003822	1.18734209
461	-0.00000197	0.00000857	0.00000879	-1.34478326
462	0.00001621	-0.00001879	0.00002482	-0.85914440
463	-0.00003282	-0.00002905	0.00004383	0.72441230
464	0.00002579	0.00000288	0.00002596	0.11134988
465	0.00001015	0.00001925	0.00002176	1.08560216
466	-0.00000298	0.00003697	0.00003709	-1.49039667
467	-0.00000333	0.00003367	0.00003383	-1.47231753
468	0.00002481	0.00002401	0.00003453	0.76897657
469	-0.00000948	-0.00002077	0.00002283	1.14261152
470	0.00003211	-0.00001459	0.00003527	-0.42639145
471	0.00001090	-0.00002846	0.00003047	-1.20497240
472	0.00002902	0.00001548	0.00003289	0.49013091
473	-0.00000560	0.00004696	0.00004729	-1.45214518
474	-0.00001445	0.00004163	0.00004407	-1.23676566
475	0.00003818	0.00003785	0.00005376	0.78106073
476	-0.00004986	0.00005811	0.00007657	-0.86162217
477	-0.00004175	0.00003378	0.00005371	-0.68029728
478	0.00002833	0.00003825	0.00004760	0.93320373
479	-0.00002761	0.00001036	0.00002949	-0.35893505
480	0.00000154	-0.00002282	0.00002287	-1.50336645
481	-0.00000004	-0.00002615	0.00002615	1.56921997
482	0.00003341	-0.00003799	0.00005059	-0.84941145
483	0.00007276	-0.00003496	0.00008072	-0.44795601
484	0.00002982	0.00002766	0.00004067	0.74785212
485	-0.00000677	0.00003719	0.00003780	-1.39074406
486	-0.00002746	0.00008337	0.00008778	-1.25256943
487	-0.00002860	0.00003867	0.00004809	-0.93403037
488	-0.00008980	0.00000213	0.00008982	-0.02376996
489	-0.00000492	-0.00001269	0.00001361	1.20082467
490	0.00000236	-0.00005520	0.00005525	-1.52801608
491	0.00000907	-0.00004327	0.00004421	-1.36415054
492	0.00004097	0.00004439	0.00006041	0.82550487
493	0.00003040	-0.00002305	0.00003815	-0.64870215
494	0.00001405	0.00002418	0.00002797	1.04451721
495	0.00002357	0.00000470	0.00002404	0.19693962
496	-0.00004390	0.00001953	0.00004805	-0.41858478
497	-0.00001115	-0.00002705	0.00002926	1.17991622
498	0.00003479	0.00000439	0.00003506	0.12554290
499	0.00003352	-0.00003232	0.00004656	-0.76714956
500	-0.00006418	-0.00000631	0.00006449	0.09801132
